
PROJETO		MAP				ESTUDO

ANGULAR		0.360000		(1) ESPAÇO ORIGINAL: SIMILARIDADE COSSENO
JQUERY		0.560000		(1) ESPAÇO ORIGINAL: SIMILARIDADE COSSENO
BOOTSTRAP	0.440000		(1) ESPAÇO ORIGINAL: SIMILARIDADE COSSENO


ANGULAR		0.240000		(1) ESPAÇO TRANSFORMADO: SIMILARIDADE COSSENO
JQUERY		0.380000		(1) ESPAÇO TRANSFORMADO: SIMILARIDADE COSSENO
BOOTSTRAP	0.220000		(1) ESPAÇO TRANSFORMADO: SIMILARIDADE COSSENO


ANGULAR		0.320000		(1) ESPAÇO ORIGINAL: DISTANCIA EUCLIDIANA
JQUERY		0.540000		(1) ESPAÇO ORIGINAL: DISTANCIA EUCLIDIANA
BOOTSTRAP	0.320000		(1) ESPAÇO ORIGINAL: DISTANCIA EUCLIDIANA


ANGULAR		0.300000		(1) ESPAÇO TRANSFORMADO: DISTANCIA EUCLIDIANA
JQUERY		0.500000		(1) ESPAÇO TRANSFORMADO: DISTANCIA EUCLIDIANA
BOOTSTRAP	0.320000		(1) ESPAÇO TRANSFORMADO: DISTANCIA EUCLIDIANA


ANGULAR		0.300000		(2) ESPAÇO ORIGINAL: PAGERANK
JQUERY		0.480000		(2) ESPAÇO ORIGINAL: PAGERANK
BOOTSTRAP	0.320000		(2) ESPAÇO ORIGINAL: PAGERANK


ANGULAR		0.140000		(2) ESPAÇO TRANSFORMADO: PAGERANK
JQUERY		0.260000		(2) ESPAÇO TRANSFORMADO: PAGERANK
BOOTSTRAP	0.140000		(2) ESPAÇO TRANSFORMADO: PAGERANK


ANGULAR		0.420000		(2) ESPAÇO ORIGINAL: MASSEY
JQUERY		0.480000		(2) ESPAÇO ORIGINAL: MASSEY
BOOTSTRAP	0.220000		(2) ESPAÇO ORIGINAL: MASSEY


ANGULAR		0.100000		(2) ESPAÇO TRANSFORMADO: MASSEY
JQUERY		0.200000		(2) ESPAÇO TRANSFORMADO: MASSEY
BOOTSTRAP	0.160000		(2) ESPAÇO TRANSFORMADO: MASSEY


ANGULAR		0.380000		(2) ESPAÇO ORIGINAL: COLLEY
JQUERY		0.580000		(2) ESPAÇO ORIGINAL: COLLEY
BOOTSTRAP	0.320000		(2) ESPAÇO ORIGINAL: COLLEY


ANGULAR		0.240000		(2) ESPAÇO TRANSFORMADO: COLLEY
JQUERY		0.400000		(2) ESPAÇO TRANSFORMADO: COLLEY
BOOTSTRAP	0.240000		(2) ESPAÇO TRANSFORMADO: COLLEY


ANGULAR		0.360000		(3) ESPAÇO ORIGINAL: LOUVAIN + PAGERANK
JQUERY		0.540000		(3) ESPAÇO ORIGINAL: LOUVAIN + PAGERANK
BOOTSTRAP	0.440000		(3) ESPAÇO ORIGINAL: LOUVAIN + PAGERANK


ANGULAR		0.480000		(3) ESPAÇO TRANSFORMADO: LOUVAIN + PAGERANK
JQUERY		0.380000		(3) ESPAÇO TRANSFORMADO: LOUVAIN + PAGERANK
BOOTSTRAP	0.280000		(3) ESPAÇO TRANSFORMADO: LOUVAIN + PAGERANK


ANGULAR		0.360000		(3) ESPAÇO ORIGINAL: LOUVAIN + CENTRALIDADE AUTOVETOR
JQUERY		0.540000		(3) ESPAÇO ORIGINAL: LOUVAIN + CENTRALIDADE AUTOVETOR
BOOTSTRAP	0.440000		(3) ESPAÇO ORIGINAL: LOUVAIN + CENTRALIDADE AUTOVETOR


ANGULAR		0.480000		(3) ESPAÇO TRANSFORMADO: LOUVAIN + CENTRALIDADE AUTOVETOR
JQUERY		0.380000		(3) ESPAÇO TRANSFORMADO: LOUVAIN + CENTRALIDADE AUTOVETOR
BOOTSTRAP	0.280000		(3) ESPAÇO TRANSFORMADO: LOUVAIN + CENTRALIDADE AUTOVETOR


